Tomb No.,Alternate No.,Location,Collection Date,Elevation (MSL),Occupant,Translit. Occupant,Nickname,Translit. Nickname,Occupant Status,Period,Dynasty,Reigning King,Date Begin,Date End,Title1,Title2,Title3,Spouse,Translit. Spouse,Father,Translit. Father,Mother,Translit. Mother,Usurper,Translit. Usurper,Photo Link,Web Link,Notes,Bibliography,ppnsl,x,y
k058,,Asasif (Nimsawy),3/15/2006,103.805,Unknown,,,,Usurper,New Kingdom,20,Setnakht to Ramesses XI,1151,1070,Unknown,,,,,,,,,,,https://gis.cofc.edu/olgistn/k058.htm,,"Surveyed 3/15/06 to 3/16/06; k058 is a large early Ramesside tomb located on the northeast face of el-Khokha hill. It faces north, overlooking the tt386 and tt414 groups of tombs in Asasif. Until recently, the front courtyard of k058 was sandwiched betweeen two large houses, since removed. k058 is T-form, containing a transverse columned hall with a single row of columns fronting a vaulted axial corridor for  the cult chamber. In the rear wall (south) is a large shallow vaulted niche inset with a smaller vaulted niche (not appear wide enough for a statue). At the rear-right (west) of this chamber, a sloping passage leads down to a vertical burial shaft, now filled, that once was blocked up with plastered mudbrick. The evidence of any burials here includes: small shreds of mummy cloth, pottery fragments, and perhaps bits of bone. While the columned hall was left roughly hewn and unfinished, the axial corridor/cult chamber was completed. The walls were plastered and painted (now mostly blackened), except for the south wall and niche, indicating a large round-topped stela once stood in this niche. Later burials were included in k050 by an additional passage and burial chamber subsequently cut into the west wall of the transverse hall. On east side of transverse hall, k058 connects to tomb p140 to the east (not shown on Kampp's Plan 5), forming an immense hypogeum of winding corridors, intersecting chambers, and burial pits. Until recently, a large house (or houses) fronted p140, p141 and p143, and the tomb complex were used by the inhabitants for storage, waste disposal and as stables. The passages are also heavily littered with paper refuse and trash. The old derelict police station lies immediately to the west along the hill. Some of the refuse is bureaucratic in nature (discarded pages from ledgers, file notes, clips, etc.), probably deriving from the station. All the entries into the complex, including k058, were bricked up after the demolition of the houses, and in 2006, it was possible to enter  the complex only by ladder through a hole in the roof into k058's transverse hall. This complex is stunning in its size and scope.","Kampp, TN 2, 660-661.",,461189.46499999985,2846225.142999999
k059,,el-Khokha,2/1/2006,94.109,Unknown,,,,Primary Owner,New Kingdom,18,Hatshepsut to Tuthmosis III,1504,1450,Unknown,,,,,,,,,,,,,,"Kampp, TN 2, 660-662, 663.",,461146.176,2846128.8259999994
k060,,el-Khokha,2/1/2006,94.151,Unknown,,,,Primary Owner,Old Kingdom,5 to 9,,2430,2175,Unknown,,,,,,,,,,,,,,"Kampp, TN 2, 662, 663.",,461145.4950000001,2846117.739
k061,,el-Khokha,2/1/2006,93.804,Unknown,,,,Primary Owner,New Kingdom,19 to 20,Ramesses I to Ramesses XI,1293,1070,Unknown,,,,,,,,,,,,,,"Kampp, TN 2, 662-664.",,461138.85699999984,2846121.9729999993
k062,,el-Khokha,12/28/2005,83.2,Idy,jdy,,,Primary Owner,New Kingdom,18,Hatshepsut to Tuthmosis III,1504,1450,Unknown,,,,,,,,,,,,,,"Kampp, TN 2, 664-666.",,461020.8629999999,2846142.4020000007
k063,,el-Khokha,2/4/2006,91.281,Unknown,,,,Primary Owner,New Kingdom,18,Tuthmosis III,1504,1450,Unknown,,,,,,,,,,,,,Kampp's sketch-map is misleading here. Her group and k063 and tt185 must be shifted back to beyond the last hall of tt048.,"Kampp, TN 2, 666, 667.",,461183.3770000003,2846127.3379999995
k064,,el-Khokha,2/1/2006,83.619,Unknown,,,,Primary Owner,New Kingdom,18,Ahmose I to Horemheb,1570,1293,Unknown,,,,,,,,,,,,,"Surveyed 2/2/06. Tomb is located between tt032 (Djehutymose) and tt183 (Nebsumenu). k064 connects to tt032 inside, where it is incorporated into structure of tt032.  Courtyard of k064 was ultimately incorporated into large courtyard of tt183, adjacent to east. k064 shows clear builders' hammer and chisel marks. According to Kampp, TN 2, 666, the tomb shaft on the right side of the courtyard of tt032 might have been appropriated from k064.","Kákosy, L. ""Ungarische Grabungen in TT 32."" In Thebanische Beamtennekropolen: Neu Perspektiven archäologischer Forschung Internationales Symposion Heidelberg 9.-13.6.1993, ed. J. Assmann et al., 49-51. SAGA 12. Heiderberg: Heidelberger Orientverlag, 1995; 
Kampp, TN 2, 666.",,461159.76400000043,2846093.4350000005
k065,,SAQ Upper Enclosure,12/9/2005,106.01,Unknown,,,,Primary Owner,New Kingdom,18 to 20,,1570,1070,Unknown,,,,,,,,,,,,,,"Kampp, TN 2, 666-667.",,460775.7709999997,2846023.732000001
k066,,SAQ Upper Enclosure,11/11/2005,153.545,Unknown,,,,Primary Owner,New Kingdom,18,Ahmose to Amenhotep III,1570,1386,Unknown,,,,,,,,,,,,,,"Kampp, TN 2, 668.",,460668.9879999999,2846137.6909999996
k067,,SAQ Upper Enclosure,11/13/2005,162.289,Unknown,,,,Primary Owner,New Kingdom,18 to 20,,1570,1070,Unknown,,,,,,,,,,,,,,"Kampp, TN 2, 668, 669.",,460639.61400000006,2846124.6109999996
k068,,SAQ Upper Enclosure,11/6/2005,115.383,Unknown,,,,Primary Owner,New Kingdom,18,Ahmose I to Horemheb,1570,1293,Unknown,,,,,,,,,,,,,"Currently, the tomb is used as a donkey stable for nearby house (based on observation 11/05--PAP)","Kampp, TN 2, 668-669.",,460763.8370000003,2846094.142999999
